Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
97,Patrick Colleter,fr FRA,DF,Southampton,33,1965,8,8,544,6.0,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
98,John Collins,sct SCO,MF,Everton,31,1968,35,33,2971,33.0,2,1,3,2,0,0,4,1,0.06,0.03,0.09,0.06,0.09,Matches
99,Stan Collymore,eng ENG,FW,Leicester City,28,1971,6,6,469,5.2,4,1,5,4,0,0,1,0,0.77,0.19,0.96,0.77,0.96,Matches
100,Colin Cooper,eng ENG,DF,Middlesbrough,32,1967,26,26,2262,25.1,0,1,1,0,0,0,5,0,0.00,0.04,0.04,0.00,0.04,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
101,Carl Cort,gy GUY,FW,Wimbledon,21,1977,34,32,2869,31.9,9,6,15,9,0,0,2,0,0.28,0.19,0.47,0.28,0.47,Matches
102,Tony Cottee,eng ENG,FW,Leicester City,34,1965,33,30,2474,27.5,13,1,14,13,0,0,1,0,0.47,0.04,0.51,0.47,0.51,Matches
103,Neil Cox,eng ENG,DF,Watford,27,1971,21,20,1755,19.5,0,1,1,0,0,0,1,1,0.00,0.05,0.05,0.00,0.05,Matches
104,Jody Craddock,eng ENG,"DF,MF",Sunderland,24,1975,19,18,1627,18.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
105,Richard Cresswell,eng ENG,FW,Sheffield Weds,21,1977,20,2,540,6.0,1,0,1,1,0,0,3,0,0.17,0.00,0.17,0.17,0.17,Matches
106,Jordi Cruyff,nl NED,"FW,MF",Manchester Utd,25,1974,8,1,268,3.0,3,0,3,3,0,0,0,0,1.01,0.00,1.01,1.01,1.01,Matches
107,Carlo Cudicini,it ITA,GK,Chelsea,25,1973,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
108,Nick Culkin,eng ENG,GK,Manchester Utd,21,1978,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
109,Micky Cummins,ie IRL,MF,Middlesbrough,21,1978,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
110,Kenny Cunningham,ie IRL,DF,Wimbledon,28,1971,37,37,3269,36.3,0,4,4,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,Matches
111,John Curtis,eng ENG,DF,Manchester Utd,20,1978,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
112,Neil Cutler,eng ENG,GK,Aston Villa,22,1976,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
113,Nikos Dabizas,gr GRE,DF,Newcastle Utd,25,1973,29,29,2568,28.5,4,0,4,4,0,0,6,1,0.14,0.00,0.14,0.14,0.14,Matches
114,Samuele Dalla Bona,it ITA,MF,Chelsea,18,1981,2,0,79,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
115,Kevin Davies,eng ENG,FW,Southampton,22,1977,23,19,1807,20.1,6,3,9,6,0,0,7,1,0.30,0.15,0.45,0.30,0.45,Matches
116,Simon Davies,wls WAL,MF,Tottenham,19,1979,3,1,147,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
117,Aidan Davison,nir NIR,GK,Bradford City,31,1968,6,5,466,5.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
118,Chris Day,eng ENG,GK,Watford,24,1975,11,11,990,11.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
119,Gilles De Bilde,be BEL,FW,Sheffield Weds,28,1971,38,37,3042,33.8,10,3,13,8,2,3,3,0,0.30,0.09,0.38,0.24,0.33,Matches
120,Brian Deane,eng ENG,FW,Middlesbrough,31,1968,29,29,2589,28.8,9,4,13,8,1,1,5,0,0.31,0.14,0.45,0.28,0.42,Matches
121,Mark Delaney,wls WAL,DF,Aston Villa,23,1976,28,25,2292,25.5,1,2,3,1,0,0,6,0,0.04,0.08,0.12,0.04,0.12,Matches
122,Rory Delap,ie IRL,MF,Derby County,23,1976,34,34,2923,32.5,8,4,12,8,0,0,5,1,0.25,0.12,0.37,0.25,0.37,Matches
123,Raimond van der Gouw,nl NED,GK,Manchester Utd,36,1963,14,11,1185,13.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
124,Marcel Desailly,fr FRA,"DF,MF",Chelsea,30,1968,23,23,1937,21.5,1,0,1,1,0,0,2,1,0.05,0.00,0.05,0.05,0.05,Matches
125,Didier Deschamps,fr FRA,MF,Chelsea,30,1968,27,24,2054,22.8,0,1,1,0,0,0,5,0,0.00,0.04,0.04,0.00,0.04,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
126,Paolo Di Canio,it ITA,FW,West Ham,31,1968,30,29,2617,29.1,16,13,29,14,2,2,6,0,0.55,0.45,1.00,0.48,0.93,Matches
127,Roberto Di Matteo,it ITA,MF,Chelsea,29,1970,18,14,1311,14.6,2,2,4,2,0,0,3,0,0.14,0.14,0.27,0.14,0.27,Matches
128,Danny Dichio,eng ENG,FW,Sunderland,24,1974,11,0,182,2.0,0,1,1,0,0,0,2,0,0.00,0.49,0.49,0.00,0.49,Matches
129,Lee Dixon,eng ENG,DF,Arsenal,35,1964,28,28,2467,27.4,4,1,5,4,0,0,3,0,0.15,0.04,0.18,0.15,0.18,Matches
130,Jason Dodd,eng ENG,DF,Southampton,28,1970,31,30,2701,30.0,0,2,2,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,Matches
131,Gary Doherty,ie IRL,"DF,FW",Tottenham,19,1980,2,0,64,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
132,Didier Domi,fr FRA,DF,Newcastle Utd,21,1978,27,19,1836,20.4,3,3,6,3,0,0,2,0,0.15,0.15,0.29,0.15,0.29,Matches
133,José Dominguez,pt POR,MF,Tottenham,25,1974,12,2,375,4.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
134,Simon Donnelly,sct SCO,"FW,MF",Sheffield Weds,24,1974,12,3,394,4.4,1,1,2,1,0,0,2,0,0.23,0.23,0.46,0.23,0.46,Matches
135,Tony Dorigo,eng ENG,DF,Derby County,33,1965,23,20,1673,18.6,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
136,Mark Draper,eng ENG,MF,Aston Villa,28,1970,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
137,John Dreyer,eng ENG,"DF,MF",Bradford City,36,1963,14,11,979,10.9,1,1,2,1,0,0,4,0,0.09,0.09,0.18,0.09,0.18,Matches
138,Richard Dryden,eng ENG,DF,Southampton,30,1969,1,1,72,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
139,Michael Duberry,eng ENG,DF,Leeds United,23,1975,13,12,1088,12.1,1,0,1,1,0,0,4,1,0.08,0.00,0.08,0.08,0.08,Matches
